UWB97XD/6-31g*
200
7,C,N,H,H,H,H,H,
-5.6290686e-01,-6.4570601e-03,-3.5877798e-02,8.4068286e-01,1.3450186e-01,3.3322233e-01,-1.0255417e+00,-6.7547590e-01,6.7684150e-01,-1.1572741e+00,9.7134560e-01,2.9966635e-01,-7.8699255e-01,-2.7935955e-01,-1.1063824e+00,1.3470165e+00,-7.9838437e-01,5.7208669e-01,1.2661715e+00,6.0952646e-01,-4.7760355e-01,-95.8043093202,
-5.6597555e-01,3.2528359e-03,-1.3169277e-02,8.3343148e-01,1.2092671e-01,3.3591330e-01,-1.0551708e+00,-6.5902346e-01,7.4109781e-01,-1.0406598e+00,9.8836678e-01,1.2544584e-02,-7.2607249e-01,-4.6278968e-01,-1.0231985e+00,1.2843157e+00,-7.7426720e-01,2.1970740e-01,1.3267927e+00,8.1350344e-01,-2.6069656e-01,-95.8193903823,
-5.5019295e-01,3.5561800e-02,-9.3296254e-03,8.3140880e-01,1.2863673e-01,3.2902911e-01,-1.0117476e+00,-8.1212932e-01,7.1940452e-01,-1.2800528e+00,8.6111528e-01,1.4805757e-01,-5.6884962e-01,-3.8866976e-01,-1.0709128e+00,1.1595354e+00,-8.8879061e-01,4.2130166e-01,1.3234762e+00,6.8591535e-01,-4.8002553e-01,-95.7922557592,
-5.3012329e-01,8.2459543e-03,-3.7193790e-02,8.1349796e-01,9.9301338e-02,3.5996205e-01,-9.5224720e-01,-6.0481137e-01,9.1787553e-01,-1.0209720e+00,1.0071894e+00,-1.1329421e-01,-9.9681008e-01,-4.7180426e-01,-1.0587056e+00,1.3942548e+00,-6.7943341e-01,9.7316906e-02,1.2215209e+00,8.7818038e-01,-2.0274656e-01,-95.7915148198,
-5.6628805e-01,-6.4661382e-03,-1.6859110e-02,8.3467716e-01,1.3378339e-01,3.3623591e-01,-1.0533630e+00,-6.8837512e-01,6.7687696e-01,-1.0318474e+00,9.7513616e-01,1.0302335e-01,-7.5988501e-01,-3.6048663e-01,-1.0417359e+00,1.3017015e+00,-7.8123212e-01,3.3442122e-01,1.3182431e+00,6.8549621e-01,-3.6284590e-01,-95.8208460855,
-5.4100478e-01,1.9664425e-02,-2.7075861e-02,8.2405478e-01,1.4451185e-01,3.5479036e-01,-1.1007800e+00,-7.8623992e-01,5.9589052e-01,-1.1312100e+00,8.6575818e-01,3.4065592e-01,-7.0109898e-01,-3.6518088e-01,-1.1075987e+00,1.2922692e+00,-7.6532215e-01,4.0174842e-01,1.2590864e+00,4.4030768e-01,-6.9442403e-01,-95.7874512714,
-5.5536830e-01,2.9702424e-03,-2.8914511e-03,8.4586877e-01,1.2297485e-01,3.7066507e-01,-1.0134335e+00,-5.2386850e-01,8.1068891e-01,-1.0753986e+00,9.4488943e-01,-2.4570215e-01,-7.4478734e-01,-6.0881090e-01,-1.0410699e+00,1.0553384e+00,-8.2639080e-01,-2.4352047e-01,1.2434106e+00,9.1534495e-01,-1.6898392e-01,-95.7837445596,
-6.0260522e-01,-1.3308180e-02,-2.3029171e-02,8.8202685e-01,1.3307698e-01,3.4264818e-01,-1.0809155e+00,-5.6451344e-01,7.3438025e-01,-1.1658567e+00,9.3987131e-01,-9.4944313e-03,-7.5586808e-01,-3.9050722e-01,-1.0102992e+00,1.2140384e+00,-8.6978018e-01,2.2966230e-01,1.3139690e+00,8.3791798e-01,-2.2544721e-01,-95.8072966122,
-5.7709920e-01,-3.0648449e-02,-4.2176951e-02,8.4919834e-01,1.0588956e-01,3.5463971e-01,-1.2026973e+00,-3.6405715e-01,8.9399052e-01,-7.6877689e-01,1.0060908e+00,-1.0678244e-01,-8.3222836e-01,-5.9207380e-01,-8.9026016e-01,1.2447726e+00,-7.2019970e-01,-9.5438749e-02,1.2282563e+00,1.1784524e+00,-2.7061343e-02,-95.7755533247,
-5.5424720e-01,1.5514299e-02,-2.0601237e-02,8.2981741e-01,1.0720167e-01,3.5981297e-01,-8.9796305e-01,-6.2886494e-01,6.9600636e-01,-9.9973601e-01,1.0837152e+00,-1.0618252e-01,-8.3196437e-01,-6.2683535e-01,-9.4805455e-01,1.2887088e+00,-7.3805678e-01,2.0569772e-02,1.1578832e+00,8.5474926e-01,-2.0316683e-01,-95.7980748669,
